CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
90001970,1,Restaurante Bene Mangiare,http://www.facebook.com/benecentro/,ChIJHSndEg55GZURf_sBW-fEsbE,"R. Gen. Câmara, nº 52 - 1º andar - Centro Histórico, Porto Alegre - RS, 90010-230",Porto Alegre,RS,+55 51 3224-8776,4.5,341,-30.027731099999997,-51.2304469,,
90001970,2,Restaurante Vida e Saúde,https://instagram.com/vidaesauderestaurante?utm_medium=copy_link,ChIJExevag55GZURiS3CdyIHBm8,"R. Gen. Câmara, 60 - Centro Histórico, Porto Alegre - RS, 90010-230",Porto Alegre,RS,+55 51 3012-5841,4.7,1776,-30.027866799999998,-51.23034,,
90001970,3,Sabor Latino,https://www.facebook.com/people/Sabor-Latino-Restaurante/100064045332945/,ChIJ86QhlhZ5GZURls9XhrKt_0k,"Tv. Francisco de Leonardo Truda, 92 - Centro Histórico, Porto Alegre - RS, 90010-001",Porto Alegre,RS,+55 51 98012-5788,4.5,1069,-30.0278206,-51.2294197,,
90001970,4,Panela 40 - Centro Histórico,,ChIJsR69Eg55GZURiHVtbzP7v_M,"R. Gen. Câmara, 40 - Centro Histórico, Porto Alegre - RS, 90010-230",Porto Alegre,RS,,4.6,611,-30.027701099999998,-51.230542199999995,,
90001970,5,J.M. Restaurante e Lancheria,,ChIJG5JeGw95GZUR_HF5w3OLxfM,"Rua José Montaury, 23 - Centro Histórico, Porto Alegre - RS, 90010-090",Porto Alegre,RS,,4.4,207,-30.0291148,-51.2284504,,
90001970,6,Restaurante Gambrinus,http://www.gambrinus.com.br/,ChIJCxlP7A55GZURXjWdgLblVCY,"85 Galeria Mercado Público - Centro Histórico, Porto Alegre - RS, 90020-070",Porto Alegre,RS,+55 51 3226-6914,4.6,1131,-30.0277472,-51.228217099999995,,
90001970,7,Galeto Mamma Mia,http://www.galetomammamia.com.br/,ChIJK8ejbN55GZURsT4yc_L8WNU,"R. Siqueira Campos, 1204 - Centro Histórico, Porto Alegre - RS, 90010-001",Porto Alegre,RS,+55 51 3105-2433,4.5,508,-30.027912699999998,-51.2297351,,
90001970,8,Restaurante Naval,,ChIJTb0noat5GZURhna8bqG3Np0,"Mercado Público Central S\N lojas 91 e 93 - Centro Histórico, Porto Alegre - RS, 90020-070",Porto Alegre,RS,+55 51 98045-8585,4.6,253,-30.0278617,-51.228196499999996,,
90001970,9,Restaurante Pires,,ChIJAXXh3A55GZURuwM-BHp8ukU,"Galeria Mercado Público, loja 115 Centro Historico, Porto Alegre - RS, 90020-070",Porto Alegre,RS,+55 51 99697-8806,4.5,46,-30.0279244,-51.227859099999996,,
90001970,10,Restaurante Gaúcho,,ChIJAXXh3A55GZURR_d4hZycnGk,"Loja 149 / 151 Galeria Mercado Público - Centro Histórico, Porto Alegre - RS, 90020-070",Porto Alegre,RS,+55 51 3224-7117,4.1,56,-30.0279001,-51.227702,,
90001970,11,Bar e Restaurante do Jacó,,ChIJlRcG7BF5GZURqqXbyBEEhgc,"R. Caldas Júnior, 48 - Centro Histórico, Porto Alegre - RS, 90010-260",Porto Alegre,RS,+55 51 3029-4017,4.6,34,-30.028819199999997,-51.232653299999996,,
90001970,12,Restaurante e Lancheira Fachini,,ChIJByBldg95GZURjkITOuPDJ_0,"R. Gen. Andrade Neves, 82 - Centro Histórico, Porto Alegre - RS, 90010-210",Porto Alegre,RS,+55 51 3228-7868,4.5,61,-30.0304875,-51.2291433,,
90001970,13,NOSSA CASA café e restaurante,,ChIJyVxtzRF5GZURJrNm7ze_8bE,"R. Sete de Setembro, 779 - Centro Histórico, Porto Alegre - RS, 90010-190",Porto Alegre,RS,+55 51 3022-5501,4.6,137,-30.0301813,-51.2326513,,
