CEP,Position,Title,Link,Place ID,Address,City,State,Phone,Rating,Reviews,Latitude,Longitude,UF,Location
78005000,1,Restaurante Sabor De Maná,,ChIJCUIy25WxnZMRCBZMNBOjBlY,"R. Eng. Ricardo Franco, 282 - Centro Norte, Cuiabá - MT, 78005-000",Cuiabá,MT,,4.5,84,-15.5957928,-56.093750899999996,,
78005000,2,Villa's Restaurante,,ChIJY1albo-xnZMRKKn6B58r-wo,"Tv. Vinte e Um de Abril - Centro Norte, Cuiabá - MT, 78005-080",Cuiabá,MT,,4.1,22,-15.5959454,-56.0939866,,
78005000,3,Restaurante Sabor de Pequi,,ChIJx1j6RJSxnZMRhh7fjkrlL-8,"R. Pedro Celestino, 34 - Centro, Cuiabá - MT, 78005-010",Cuiabá,MT,+55 65 3623-6360,3.8,5,-15.5973054,-56.095538299999994,,
78005000,4,Restaurante Paraná,,ChIJJdSwtZWxnZMRg_DWZcHfOWo,"R. Eng. Ricardo Franco, 153 - Centro, Cuiabá - MT, 78005-000",Cuiabá,MT,+55 65 98142-2135,3.7,7,-15.596692099999999,-56.0945129,,
78005000,5,Restaurante Cheiro Verde,,ChIJNdXMUpSxnZMRYvqSwMS7lqU,"R. Cândido Mariano, 101 - Centro Norte, Cuiabá - MT, 78005-150",Cuiabá,MT,+55 65 3023-1331,3.9,35,-15.5973914,-56.0947246,,
78005000,6,Ebenézer,,ChIJW3frqZWxnZMRey6EKW5LE14,"R. Galdino Pímentel, 96 - Centro Norte, Cuiabá - MT, 78005-340",Cuiabá,MT,,4.4,11,-15.5976805,-56.0942935,,
78005000,7,Nosso Prato Restaurante,,ChIJ23hxm5OxnZMRRxaFFD0-RsE,"R. Barão de Melgaço, 3344 - Centro Norte, Cuiabá - MT, 78055-312",Cuiabá,MT,+55 65 3324-0828,4.2,40,-15.5980996,-56.0982813,,
78005000,8,Malaguetas Restaurante,,ChIJW6wRkpaxnZMRhGGRRSx-t_o,"R. Barão de Melgaço, 4440 - Centro Norte, Cuiabá - MT, 78005-700",Cuiabá,MT,+55 65 3028-4255,4.4,386,-15.5944691,-56.095326,,
78005000,9,Renatas Restaurante e Lanchonete - Centro,,ChIJOVCDxS6xnZMRSwbwrCxT-WM,"Avenida presidente Getúlio Vargas Número 240-B - Centro, Cuiabá - MT, 78005-370",Cuiabá,MT,+55 65 99925-2722,3.4,5,-15.5970234,-56.096333699999995,,
78005000,10,Restaurante Dia A Dia,,ChIJw_AFEJSxnZMRBjOk2MzUILg,"R. Barão de Melgaço, 3594 - Centro Norte, Cuiabá - MT, 78005-300",Cuiabá,MT,,4.2,17,-15.5963433,-56.0967494,,
